f1,f2,robot_1,robot_2,robot_3,robot_4
7.669666290283203,3.0985513,"[11, 27, 15, 20, 17, 8, 19, 18]","[2, 14, 9, 6, 24, 28, 23, 16, 21, 25, 12, 7]","[1, 0, 10, 26, 22, 29, 3, 4, 5, 13]",[]
7.790629863739014,2.5628467,"[11, 27, 19, 8, 17, 20, 15, 24]","[2, 14, 9, 6, 16, 7]","[18, 28, 23, 21, 25, 26, 12, 22, 29, 3, 4, 10, 0, 1]","[13, 5]"
7.110749959945679,3.3633223,"[7, 16, 24, 11, 18, 19, 8, 17, 27, 20, 15, 14, 9, 6, 2]","[21, 23, 28, 25, 26, 29, 22, 12]",[],"[13, 5, 3, 4, 10, 0, 1]"
8.145764112472534,2.5954642,"[11, 27, 15, 20, 17, 8, 19, 18, 16]","[2, 14, 9, 6, 24, 28, 23, 25, 21, 7]","[0, 26, 12, 22, 29, 3, 4, 10, 1]","[13, 5]"
7.822088241577148,2.6911511,"[11, 18, 19, 8, 17, 27, 20, 15, 24]","[2, 14, 9, 6, 7]","[28, 23, 16, 21, 25, 26, 12, 22, 29, 3, 4, 10, 0]","[1, 5, 13]"
8.645694255828857,2.5910022,"[16, 11, 27, 19, 8, 17, 20, 15, 24]","[2, 14, 9, 6, 7]","[28, 23, 21, 25, 26, 22, 29, 3, 4, 10, 0]","[13, 5, 1, 12, 18]"
8.414746046066284,2.6816254,"[15, 20, 17, 8, 27, 11, 16]","[2, 14, 9, 6, 7]","[1, 28, 23, 25, 21, 24, 18, 19]","[0, 10, 26, 12, 22, 29, 3, 4, 5, 13]"
7.927664518356323,2.6911511,"[11, 18, 19, 8, 17, 27, 20, 15, 24]","[2, 14, 9, 6, 16, 21, 7]","[28, 23, 25, 26, 12, 22, 29, 3, 4, 10, 0]","[1, 5, 13]"
7.920116901397705,3.1637697,"[24, 11, 18, 19, 8, 17, 27, 20, 15, 9]","[2, 6, 14, 28, 23, 16, 21, 25, 26, 7]",[],"[1, 0, 10, 12, 22, 29, 3, 4, 5, 13]"
8.456674695014954,2.5954642,"[11, 27, 15, 20, 17, 8, 19, 18, 16]","[2, 14, 9, 6, 24, 21, 7]","[28, 23, 25, 26, 12, 22, 29, 3, 10, 0]","[13, 5, 4, 1]"
8.84049105644226,2.5910022,"[16, 11, 27, 19, 8, 17, 20, 15, 24]","[7, 18, 9, 14, 6, 2]","[28, 23, 21, 25, 26, 12, 22, 29, 3, 4, 10, 0]","[1, 5, 13]"
7.853302001953125,3.1874146,"[24, 11, 18, 19, 8, 17, 27, 20, 15, 14, 9, 6, 2]","[21, 16, 23, 28, 25, 26, 22, 12, 7]","[1, 0, 10, 29, 3, 4, 5]",[13]
8.163543820381165,2.77958,"[11, 18, 19, 8, 17, 27, 20, 15, 24]","[2, 14, 9, 6, 7]","[28, 23, 16, 21, 25, 26, 12, 22, 29, 3, 4, 10]","[0, 1, 5, 13]"
8.590973377227783,2.5954642,"[11, 27, 15, 20, 17, 8, 19, 18, 16]","[2, 14, 9, 6, 24, 23, 21, 7]","[28, 25, 26, 12, 22, 29, 10, 0, 1]","[3, 4, 5, 13]"
8.038322925567627,3.1440492,"[11, 18, 19, 8, 17, 27, 20, 15, 14, 9, 6, 2]","[24, 28, 23, 16, 7]","[21, 25, 26, 12, 22, 29, 3, 4, 10, 0]","[1, 5, 13]"
8.213561415672302,2.6911511,"[11, 18, 19, 8, 17, 27, 20, 15, 24]","[2, 6, 14, 9, 28, 16, 21, 7]","[23, 25, 26, 12, 22, 29, 3, 4, 10, 0]","[1, 5, 13]"
8.07028615474701,3.1250079,"[11, 18, 19, 8, 17, 27, 20, 15, 14, 9, 6]","[2, 24, 16, 21, 7]","[28, 23, 25, 26, 12, 22, 29, 3, 4, 10, 0]","[1, 5, 13]"
8.575561761856079,2.64825,"[11, 27, 15, 20, 17, 8, 19, 18, 16]","[2, 14, 9, 6, 24, 7]","[28, 23, 21, 25, 10, 0, 1]","[26, 12, 22, 29, 3, 4, 5, 13]"
7.881988048553467,3.1874146,"[24, 11, 18, 19, 8, 17, 27, 20, 15, 14, 9, 6, 2]","[16, 23, 28, 25, 21, 7]","[26, 12, 22, 29, 3, 4, 10, 0]","[1, 5, 13]"
8.293414831161499,2.6911511,"[11, 18, 19, 8, 17, 27, 20, 15, 24]","[2, 6, 14, 9, 28, 23, 25, 21, 16, 7]","[1, 10, 4, 3, 29, 22, 12, 26, 0]","[13, 5]"
8.277565002441406,2.9878757,"[9, 14, 15, 20, 27, 17, 8, 19, 18, 11, 24]","[2, 6, 28, 23, 16, 21, 25, 26, 22, 12, 7]","[0, 29, 3, 4, 10, 1]","[13, 5]"
8.048330068588257,3.1440492,"[11, 18, 19, 8, 17, 27, 20, 15, 14, 9, 6, 2]","[24, 28, 23, 16, 21, 25, 12, 7]","[1, 10, 4, 3, 29, 22, 26, 0]","[13, 5]"
8.76689624786377,2.64825,"[11, 27, 15, 20, 17, 8, 19, 18, 16]","[2, 14, 9, 6, 24, 23, 7]","[28, 21, 25, 10, 0, 1]","[26, 12, 22, 29, 3, 4, 5, 13]"
8.78013014793396,2.6311302,"[11, 27, 15, 20, 17, 8, 19, 18, 16]","[2, 14, 9, 6, 24, 23, 21, 7]","[28, 25, 26, 29, 3, 4, 10, 0, 1]","[12, 22, 5, 13]"
8.828947901725769,2.5954642,"[11, 27, 15, 20, 17, 8, 19, 18, 16]","[7, 24, 6, 9, 14, 2]","[28, 23, 21, 25, 26, 12, 22, 10, 0, 1]","[29, 3, 4, 5, 13]"
7.913419485092163,3.1874146,"[24, 11, 18, 19, 8, 17, 27, 20, 15, 14, 9, 6, 2]","[28, 23, 16, 7]","[21, 25, 26, 12, 22, 29, 3, 4, 10, 0, 1]","[13, 5]"
7.894993901252747,3.212422,"[24, 11, 18, 19, 8, 17, 27, 20, 15, 14, 9]","[7, 21, 16, 23, 28, 6, 2]",[],"[1, 0, 25, 26, 12, 22, 29, 3, 4, 10, 5, 13]"
8.278086185455322,3.0985513,"[11, 27, 15, 20, 17, 8, 19, 18]","[2, 14, 9, 6, 24, 7]","[28, 23, 16, 21, 25, 26, 12, 22, 29, 3, 4, 10, 0]","[1, 5, 13]"
8.44128155708313,2.6911511,"[11, 18, 19, 8, 17, 27, 20, 15, 24]","[2, 14, 9, 6, 7]","[28, 23, 16, 21, 25, 26, 12, 22, 29, 3, 10, 0]","[13, 5, 4, 1]"
7.915926933288574,3.1874146,"[24, 11, 18, 19, 8, 17, 27, 20, 15, 14, 9, 6, 2]","[16, 23, 28, 25, 21, 7]","[1, 10, 4, 3, 29, 22, 12, 26, 0]","[13, 5]"
8.212314367294312,3.1690564,"[11, 18, 19, 8, 17, 27, 20, 15, 14, 9]","[2, 6, 24, 7]","[28, 23, 16, 21, 25, 26, 12, 22, 29, 3, 4, 10, 0]","[1, 5, 13]"
8.378127217292786,2.7466035,"[11, 18, 19, 8, 17, 27, 20, 15, 24]","[2, 6, 14, 9, 28, 23, 25, 21, 16, 7]","[1, 0, 10, 26, 12, 22, 29, 3, 4, 5]",[13]
8.955735802650452,2.5954642,"[11, 27, 15, 20, 17, 8, 19, 18, 16]","[7, 24, 6, 9, 14, 2]","[28, 23, 21, 25, 12, 26, 10, 0]","[1, 29, 22, 3, 4, 5, 13]"
8.836788058280945,2.6351247,"[11, 27, 19, 8, 17, 20, 15, 24]","[2, 14, 9, 6, 23, 16, 21, 7]","[18, 28, 25, 26, 22, 29, 3, 4, 10, 0]","[13, 5, 12, 1]"
8.507234334945679,2.6911511,"[11, 18, 19, 8, 17, 27, 20, 15, 24]","[2, 6, 14, 9, 28, 23, 16, 21, 7]","[25, 26, 12, 22, 29, 3, 4, 10]","[0, 1, 5, 13]"
8.399648070335388,2.8189976,"[11, 27, 15, 20, 17, 8, 19, 18, 28]","[2, 14, 9, 6, 24, 16, 21, 7]","[23, 25, 26, 12, 22, 29, 3, 4, 10]","[0, 1, 5, 13]"
8.290593266487122,3.1204042,"[11, 18, 19, 8, 17, 27, 20, 15, 9]","[2, 14, 6, 24, 7]","[28, 23, 16, 21, 25, 26, 12, 22, 29, 3, 4, 10, 0]","[1, 5, 13]"
8.332945823669434,3.0985513,"[11, 27, 15, 20, 17, 8, 19, 18]","[2, 14, 9, 6, 24, 16, 21, 7]","[28, 23, 25, 26, 12, 22, 29, 3, 4, 10, 0, 1]","[13, 5]"
8.398423075675964,2.9665089,"[16, 18, 19, 8, 17, 20, 15, 27, 11]","[7, 24, 6, 9, 14, 2]","[28, 23, 21, 25, 26, 12, 22, 29, 3, 4, 10, 0, 1]","[13, 5]"
7.944286227226257,3.1874146,"[24, 11, 18, 19, 8, 17, 27, 20, 15, 14, 9, 6, 2]","[28, 23, 7]","[16, 21, 25, 26, 12, 22, 29, 3, 4, 10, 0]","[1, 5, 13]"
8.957143068313599,2.5954642,"[11, 27, 15, 20, 17, 8, 19, 18, 16]","[2, 14, 9, 6, 24, 28, 7]","[23, 21, 25, 26, 12, 22, 10, 0, 1]","[29, 3, 4, 5, 13]"
8.957932233810425,2.6292975,"[11, 27, 15, 20, 17, 8, 19, 18, 16]","[2, 6, 14, 9, 24]","[28, 23, 21, 7, 12, 26, 25, 10, 0]","[1, 29, 22, 3, 4, 5, 13]"
8.502119660377502,2.9645352,"[28, 18, 19, 8, 17, 20, 15, 27, 11]","[7, 16, 24, 6, 9, 14, 2]","[23, 21, 25, 26, 12, 22, 29, 3, 4, 10, 0]","[1, 5, 13]"
8.340660810470581,3.0985513,"[11, 27, 15, 20, 17, 8, 19, 18]","[2, 14, 9, 6, 24, 16, 21, 7]","[28, 23, 25, 26, 12, 22, 29, 3, 4, 10, 0]","[1, 5, 13]"
8.515015840530396,2.6911511,"[11, 18, 19, 8, 17, 27, 20, 15, 24]","[2, 14, 9, 6, 7]","[28, 23, 16, 21, 25, 26, 12, 22, 29, 0]","[13, 5, 3, 4, 10, 1]"
9.850264310836792,2.6017985,"[24, 20, 27, 8, 19, 16]","[2, 6, 9, 14, 15, 17, 11, 7]","[28, 23, 21, 25, 26, 22, 29, 3, 4, 10, 0, 13]","[18, 12, 5, 1]"
7.956374168395996,3.1874146,[],"[24, 11, 18, 19, 8, 17, 27, 20, 15, 14, 9, 6, 2]","[28, 23, 16, 21, 7, 12, 22, 26, 25, 0]","[13, 5, 4, 3, 29, 10, 1]"
8.474813342094421,3.0412111,"[24, 11, 27, 19, 8, 17, 20, 15, 14, 9, 6, 2]","[16, 23, 21, 7]","[18, 28, 25, 26, 22, 29, 3, 0]","[1, 10, 12, 4, 5, 13]"
8.57141900062561,2.6911511,"[11, 18, 19, 8, 17, 27, 20, 15, 24]","[2, 14, 9, 6, 7]","[28, 23, 16, 21, 25, 26, 12, 22, 29, 10, 0]","[1, 4, 3, 5, 13]"
8.179665803909302,3.1874146,"[24, 11, 18, 19, 8, 17, 27, 20, 15, 14, 9, 6, 2]","[16, 23, 28, 21, 7]","[25, 26, 12, 22, 29, 3, 4, 10]","[0, 1, 5, 13]"
8.357095718383789,3.0985513,"[11, 27, 15, 20, 17, 8, 19, 18]","[2, 14, 9, 6, 24, 16, 7]","[28, 23, 21, 25, 26, 12, 22, 29, 3, 4, 10, 0]","[1, 5, 13]"
8.073683977127075,3.2624516,"[7, 24, 11, 18, 19, 8, 17, 27, 20, 15, 14, 9, 6, 2]","[12, 26, 25, 28, 23, 16, 21]","[1, 10, 4, 3, 22, 29, 0]","[13, 5]"
8.016633987426758,3.3390589,"[16, 24, 11, 18, 19, 8, 17, 27, 20, 15, 14, 9, 6, 2]","[23, 28, 25, 21, 7]","[0, 26, 12, 22, 29, 3, 4, 10, 1]","[13, 5]"
8.52063536643982,2.9665089,"[16, 18, 19, 8, 17, 20, 15, 27, 11]","[2, 14, 9, 6, 24, 28, 23, 21, 25, 12, 7]","[1, 10, 4, 3, 29, 22, 26, 0]","[13, 5]"
9.079026103019714,2.6397996,"[11, 27, 19, 8, 17, 20, 15, 24]","[7, 16, 6, 9, 14, 2]","[18, 28, 23, 21, 25, 26, 22, 29, 3, 0]","[13, 5, 4, 12, 10, 1]"
8.596871614456177,2.6911511,"[11, 18, 19, 8, 17, 27, 20, 15, 24]","[2, 14, 9, 6, 7]","[28, 23, 16, 21, 25, 26, 12, 22, 10, 0]","[13, 5, 4, 3, 29, 1]"
8.553869485855103,2.9807038,"[11, 18, 19, 8, 17, 27, 20, 15, 24]","[6, 9, 14, 2]","[28, 23, 16, 21, 7, 12, 25, 26, 22, 29, 3, 4, 10]","[0, 1, 5, 13]"
9.112670063972473,2.6886082,"[11, 27, 19, 8, 17, 20, 15, 24]","[7, 21, 16, 6, 9, 14, 2]","[18, 28, 23, 25, 26, 22, 29, 3, 10, 0]","[1, 12, 4, 5, 13]"
8.223443865776062,3.1874146,"[24, 11, 18, 19, 8, 17, 27, 20, 15, 14, 9, 6, 2]","[16, 23, 28, 25, 21, 7]","[26, 12, 22, 29, 3, 4, 10]","[0, 1, 5, 13]"
8.360961318016052,3.1250079,"[11, 18, 19, 8, 17, 27, 20, 15, 14, 9, 6]","[7, 16, 24, 2]","[28, 23, 21, 25, 26, 12, 22, 29, 3, 4, 10, 0, 1]","[13, 5]"
8.39410138130188,3.0985513,"[11, 27, 15, 20, 17, 8, 19, 18]","[2, 14, 9, 6, 24, 23, 16, 21, 7]","[28, 25, 26, 12, 22, 29, 3, 4, 10, 0]","[1, 5, 13]"
