f1,f2,robot_1,robot_2,robot_3,robot_4
7.514249563217163,2.2054288,"[9, 10, 11, 12, 13, 22, 21, 29, 20, 2, 0]","[28, 19, 27]","[26, 17, 1, 18, 3, 4, 5, 6, 7, 8]","[16, 25, 15, 14, 23, 24]"
7.1679370403289795,2.3587909,"[9, 10, 11, 12, 13, 22, 21, 29, 2, 0]","[18, 1, 27, 19, 28, 20]","[26, 17, 3, 4, 5, 6, 7, 8]","[16, 25, 15, 14, 23, 24]"
6.674928903579712,2.4347095,[],"[10, 11, 12, 13, 21, 29, 20, 9]","[23, 22, 28, 19, 27, 18, 0, 1, 2, 3, 4, 5, 6]","[8, 17, 26, 7, 24, 14, 15, 25, 16]"
6.3899043798446655,2.4712956,"[18, 27, 19, 9, 10, 11, 12, 13, 22, 21, 29, 20, 28, 2, 1, 0]",[],"[23, 3, 4, 5, 6]","[16, 25, 15, 14, 24, 7, 26, 17, 8]"
8.256845355033875,2.1472516,"[9, 10, 12, 13, 22, 21, 20, 27, 0]","[28, 29, 23, 11]","[6, 5, 4, 3, 2, 1, 18, 19, 7]","[8, 17, 26, 24, 14, 15, 25, 16]"
6.914199650287628,2.7985466,"[27, 9, 10, 11, 12, 13, 23, 22, 21, 20, 3, 0]","[28, 19, 18, 1, 2, 4, 5, 29]","[17, 26, 6, 7, 8]","[24, 14, 15, 25, 16]"
7.943973541259766,2.3968656,"[9, 11, 12, 13, 22, 21, 20]","[19, 27, 18, 0, 1, 2, 28, 29, 10]","[26, 17, 3, 4, 5, 6, 7]","[8, 23, 14, 24, 15, 25, 16]"
7.169139921665192,2.4047656,"[9, 10, 12, 13, 22, 21, 20, 27, 0]","[28, 19, 18, 1, 2, 3, 29, 11]","[26, 17, 4, 5, 6, 23, 7, 8]","[24, 14, 15, 25, 16]"
8.195136189460754,2.3075523,"[9, 10, 12, 13, 22, 21, 20, 27, 0]","[11, 29]","[23, 28, 19, 18, 1, 2, 3, 4, 5, 6]","[8, 17, 26, 7, 24, 14, 15, 25, 16]"
6.810504198074341,3.042465,"[9, 10, 13, 22, 21, 20, 27, 0]","[11, 29, 28, 19, 18, 1, 2, 3, 4, 5, 6, 23, 12]","[17, 26, 7, 8]","[24, 14, 15, 25, 16]"
8.176027774810791,2.3756583,"[9, 10, 11, 12, 13, 20]","[22, 21, 29, 28, 19]","[26, 17, 2, 1, 0, 18, 27, 3, 4, 5, 6, 7, 8]","[16, 25, 15, 14, 23, 24]"
7.065443694591522,2.4887083,"[9, 10, 11, 12, 23, 22, 29, 20, 3, 1, 0]","[19, 27, 18, 2, 28, 21]","[26, 17, 4, 5, 6, 7, 8]","[24, 13, 14, 15, 25, 16]"
8.471827745437622,2.1970673,"[9, 10, 13, 22, 21, 20, 27, 0]","[12, 11, 29, 28]","[23, 19, 18, 1, 2, 3, 4, 5, 6, 7]","[8, 17, 26, 24, 14, 15, 25, 16]"
6.990086793899536,2.5878472,"[9, 10, 12, 13, 22, 21, 20, 27, 0]",[],"[4, 3, 2, 1, 18, 19, 28, 29, 11, 23]","[8, 26, 17, 5, 6, 7, 24, 14, 15, 25, 16]"
6.926521360874176,3.0310173,"[9, 10, 11, 12, 13, 22, 21, 29, 27, 0]","[20, 28, 19, 18, 1, 2, 3, 4, 5, 23]","[17, 26, 6, 7, 8]","[24, 14, 15, 25, 16]"
7.550236284732819,2.4498959,"[9, 10, 12, 13, 22, 21, 20, 27, 0]","[18, 1, 2, 19, 28, 29, 11]","[8, 7, 23, 6, 5, 4, 3, 17, 26]","[24, 14, 15, 25, 16]"
8.417301893234253,2.3075523,"[9, 10, 12, 13, 22, 21, 20, 27, 0]","[11, 29, 28]","[23, 19, 18, 1, 2, 3, 4, 5, 6]","[8, 17, 26, 7, 24, 14, 15, 25, 16]"
7.014710247516632,2.7928805,"[9, 10, 12, 13, 22, 21, 20, 27, 0]","[28, 19, 18, 1, 2, 3, 29, 23, 11]","[26, 17, 4, 5, 6, 7, 8]","[24, 14, 15, 25, 16]"
7.09227854013443,2.5020342,"[9, 10, 12, 13, 22, 21, 20, 27, 0]","[28, 19, 18, 1, 2, 3, 4, 29, 11]","[26, 17, 5, 6, 23, 7, 8]","[24, 14, 15, 25, 16]"
6.974952518939972,2.9183037,"[0, 1, 28, 21, 22, 13, 12, 10, 9, 27, 18]","[11, 29, 20, 19, 2, 3, 4, 5, 23]","[17, 26, 6, 7, 8]","[24, 14, 15, 25, 16]"
8.49227499961853,2.2338936,"[0, 1, 21, 22, 13, 12, 10, 9, 27]","[11, 29, 20, 28]","[23, 19, 18, 2, 3, 4, 5, 6, 7]","[8, 17, 26, 24, 14, 15, 25, 16]"
7.328810036182404,2.49222,"[0, 1, 21, 22, 13, 12, 10, 9, 27]","[18, 19, 28, 20, 29, 23, 11]","[26, 17, 2, 3, 4, 5, 6, 7, 8]","[24, 14, 15, 25, 16]"
7.29446417093277,2.5300899,"[9, 10, 11, 12, 13, 22, 21, 29, 20, 27, 0]","[19, 18, 1, 2, 3, 28]","[26, 17, 4, 5, 6, 23, 7, 8]","[24, 14, 15, 25, 16]"
8.118998527526855,2.475354,"[13, 12, 11, 10, 9]","[22, 21, 29, 20]","[26, 17, 28, 19, 27, 18, 0, 1, 2, 3, 4, 5, 6, 7, 8]","[16, 25, 15, 14, 23, 24]"
7.124403297901154,2.7131255,"[9, 10, 12, 13, 22, 21, 20, 27, 0]","[18, 1, 2, 19, 28, 29, 23, 11]","[26, 17, 3, 4, 5, 6, 7, 8]","[24, 14, 15, 25, 16]"
8.114274799823761,2.4962509,"[0, 27, 28, 20, 29, 21, 22, 13, 12, 11, 10, 9]","[18, 1, 2, 19]","[8, 7, 23, 6, 5, 4, 3, 17, 26]","[24, 14, 15, 25, 16]"
7.033180058002472,2.9854803,"[9, 10, 11, 12, 13, 22, 21, 29, 27, 0]","[20, 28, 19, 18, 1, 2, 3, 4, 23]","[26, 17, 5, 6, 7, 8]","[24, 14, 15, 25, 16]"
8.67550539970398,2.3443503,"[9, 10, 11, 12, 13, 23, 22, 21, 29, 27, 0]","[20, 28, 19, 18]","[26, 1, 2, 3, 4, 5, 6]","[8, 17, 7, 24, 14, 15, 25, 16]"
7.029111921787262,3.1336079,"[9, 10, 12, 13, 22, 21, 20, 27, 0]","[11, 29, 28, 19, 18, 1, 2, 3, 4, 5, 23]","[17, 26, 6, 7, 8]","[24, 14, 15, 25, 16]"
