f1,f2,robot_1,robot_2,robot_3,robot_4,robot_5,robot_6
8.946907639503479,2.176178,"[26, 17, 0, 25, 18, 24, 30, 4, 15]","[6, 38, 28, 9, 29]","[33, 23, 39, 31, 35, 7, 3, 1, 12, 11]","[2, 36, 20]","[8, 16, 34, 13, 14, 27, 37, 5]","[10, 32, 19, 22, 21]"
9.262937426567078,2.0589576,"[15, 18, 25, 0, 17, 26]","[29, 9, 4, 6]","[30, 24, 11, 12, 28, 38, 7, 3, 1, 35, 31, 39, 23, 33]","[20, 2, 36, 8, 16, 34, 13]","[5, 37, 14, 27, 10]","[32, 19, 22, 21]"
10.035253524780273,2.0560365,"[26, 17, 0, 25, 18, 9, 29, 6, 15]","[4, 24, 30, 11, 12, 28, 38]","[1, 3, 7, 35, 31, 39, 23, 33]","[2, 36, 34, 16, 8, 20]","[10, 21, 13, 14, 27, 37, 5]","[32, 19, 22]"
10.339195966720581,1.9718416,"[26, 17, 0, 25, 18, 9, 29, 6, 15]","[4, 24, 30, 11]","[33, 23, 39, 31, 35, 1, 3, 7, 38, 28, 12]","[20, 2, 36, 8, 16, 34, 13]","[5, 37, 27, 14, 21, 32, 10]","[19, 22]"
8.719953417778015,3.1641746,"[15, 18, 25, 0, 17, 26]",[],"[30, 24, 4, 6, 29, 9, 38, 28, 12, 11]","[7, 3, 1, 33, 23, 39, 31, 20]","[16, 34, 36, 2]","[35, 13, 14, 27, 37, 5, 10, 32, 19, 22, 21, 8]"
10.43173623085022,1.9577839,"[15, 6, 9, 18, 25, 0, 17, 26]","[29, 4, 24, 30, 11, 12, 28, 38]","[33, 23, 39, 31, 7, 3, 1]","[20, 2, 36, 8, 16, 34, 13, 35]","[10, 19, 32, 14, 27, 37, 5]","[21, 22]"
10.092719674110413,2.0560365,"[26, 17, 0, 25, 18, 9, 29, 6, 15]","[4, 24, 30, 11, 12, 28]","[33, 23, 39, 31, 35, 1, 3, 7, 38]","[20, 8, 16, 36, 2]","[10, 21, 34, 13, 14, 27, 37, 5]","[32, 19, 22]"
9.332748532295227,2.0589576,"[26, 17, 0, 25, 18, 9, 29, 6, 15]","[4, 24, 30, 11, 12, 28, 38]","[1, 3, 7, 35, 31, 39, 23, 33]","[20, 2]","[10, 8, 36, 16, 34, 13, 14, 27, 37, 5]","[32, 19, 22, 21]"
9.296845316886902,2.176178,"[26, 17, 0, 25, 18, 24, 30, 4, 9, 29, 6, 15]","[38, 28, 11, 12, 7]","[1, 3, 35, 31, 39, 23, 33]","[2, 36, 20]","[8, 16, 34, 13, 14, 27, 37, 5]","[10, 32, 19, 22, 21]"
10.383536577224731,1.9747627,"[26, 17, 0, 25, 18, 9, 29, 6, 15]","[4, 24, 30, 11, 12]","[28, 38, 7, 3, 1, 39, 23, 33]","[35, 31, 8, 36, 2, 20]","[10, 32, 16, 34, 13, 14, 27, 37, 5]","[19, 22, 21]"
9.12065863609314,2.2184396,"[26, 17, 0, 25, 18, 15]","[6, 9, 29]","[30, 24, 4, 28, 38, 7, 3, 1, 12, 11]","[20, 35, 31, 39, 23, 33]","[2, 36, 8, 16, 34, 13, 14, 27, 37, 5]","[10, 32, 19, 22, 21]"
9.372521162033081,2.0589576,"[15, 18, 25, 0, 17, 26]","[6, 4, 24, 30, 11, 12, 28, 9, 29]","[38, 7, 3, 1, 35, 31, 39, 23, 33]","[20, 8, 16, 36, 2]","[10, 34, 13, 14, 27, 37, 5]","[32, 19, 22, 21]"
9.33628761768341,2.176178,"[26, 17, 0, 25, 18, 9, 29, 6, 15]","[4, 24, 30, 11, 12, 1, 3, 7, 28, 38]","[33, 23, 39, 31, 35]","[2, 36, 20]","[8, 16, 34, 13, 14, 27, 37, 5]","[10, 32, 19, 22, 21]"
10.3297758102417,2.0560365,"[15, 18, 25, 0, 17, 26]","[29, 9, 30, 24, 4, 6]","[11, 12, 28, 38, 7, 3, 1, 31, 39, 23, 33]","[20, 2, 36, 8, 16, 34, 13, 35]","[10, 21, 14, 27, 37, 5]","[32, 19, 22]"
9.150711357593536,2.341092,"[26, 17, 0, 25, 18, 6, 15]","[9, 29]","[30, 24, 4, 28, 38, 7, 3, 12, 11]","[20, 2, 36, 8, 35, 31, 39, 23, 33, 1]","[16, 34, 13, 14, 27, 37, 5]","[10, 32, 19, 22, 21]"
9.282515347003937,2.254898,"[26, 17, 0, 25, 18, 24, 30, 4, 6, 15]","[9, 29]","[12, 1, 3, 7, 38, 28, 11]","[33, 23, 39, 31, 35, 2, 20]","[8, 36, 16, 34, 13, 14, 27, 37, 5]","[10, 32, 19, 22, 21]"
9.128929555416107,2.4405043,"[26, 17, 0, 25, 18, 4, 6, 15]","[9, 29]","[30, 24, 11, 12, 28, 38, 7, 3, 1, 23, 33]","[35, 13, 34, 16, 8, 2]","[10, 32, 19, 22, 21, 20]","[39, 31, 14, 27, 37, 5, 36]"
9.57170557975769,2.0589576,"[26, 17, 0, 25, 18, 24, 30, 4, 9, 29, 6, 15]","[11, 12, 28, 38]","[1, 3, 7, 35, 31, 39, 23, 33]","[20, 8, 16, 36, 2]","[5, 37, 27, 14, 13, 34, 10]","[32, 19, 22, 21]"
9.18501341342926,2.3570874,"[15, 18, 25, 0, 17, 26]","[6, 9, 29]","[30, 24, 4, 28, 38, 7, 3, 1, 12, 11]","[20, 2, 8, 16, 34, 35, 31, 39, 23, 33]","[36, 13, 14, 27, 37, 5]","[10, 32, 19, 22, 21]"
9.41091787815094,2.176178,"[15, 17, 0, 25, 26]","[29, 9, 4, 11, 30, 24, 18, 6]","[12, 28, 38, 7, 3, 1, 35, 31, 39, 23, 33]","[20, 8, 16, 36, 2]","[34, 13, 14, 27, 37, 5]","[10, 32, 19, 22, 21]"
9.200586438179016,2.3436568,"[15, 18, 25, 0, 17, 26]","[8, 29, 9, 6, 4, 38, 34, 16]","[30, 24, 11, 12]","[28, 7, 3, 1, 33, 23, 39, 31, 35, 36, 2, 20]","[13, 14, 27, 37, 5]","[10, 32, 19, 22, 21]"
10.717952251434326,2.0560365,"[26, 17, 0, 25, 18, 4, 9, 29, 6, 15]","[24, 30, 11, 28]","[12, 38, 7, 3, 1, 31, 39, 23, 33]","[20, 2, 36, 8, 16, 34, 13, 35]","[10, 21, 14, 27, 37, 5]","[32, 19, 22]"
9.151070773601532,3.1994283,"[15, 17, 0, 25, 26]","[6, 18, 24, 30, 11, 4, 9, 29]","[12, 28, 38, 7, 3, 1, 31, 39, 23, 33]",[20],"[2, 36, 8, 16]","[35, 34, 13, 14, 27, 37, 5, 10, 32, 19, 22, 21]"
9.483515501022339,2.1756468,"[15, 18, 25, 0, 17, 26]","[6, 4, 24, 30, 11, 12, 3, 7, 28, 38, 9, 36]","[1, 35, 31, 39, 23, 33]","[29, 34, 2, 21]","[10, 8, 16, 13, 14, 27, 37, 5]","[20, 32, 19, 22]"
9.293596029281616,2.3055162,"[26, 17, 0, 25, 18, 15]","[29, 9, 4, 6]","[12, 1, 3, 7, 38, 28, 11, 24, 30]","[20, 2, 36, 8, 35, 31, 39, 23, 33]","[16, 34, 13, 14, 27, 37, 5]","[10, 32, 19, 22, 21]"
9.60513287782669,2.0589576,"[15, 6, 9, 18, 25, 0, 17, 26]","[29, 4, 24, 30, 11, 12, 28, 38]","[1, 3, 7, 35, 31, 39, 23, 33]","[20, 8, 16, 27, 14, 13, 34, 36, 2]","[37, 5, 10]","[32, 19, 22, 21]"
9.415746092796326,2.176178,"[26, 17, 0, 25, 18, 24, 30, 15]","[29, 9, 38, 28, 7, 3, 1, 12, 11, 4, 6]","[33, 23, 39, 31, 35]","[20, 8, 16, 36, 2]","[34, 13, 14, 27, 37, 5]","[10, 32, 19, 22, 21]"
9.395634412765503,2.3409555,"[26, 17, 0, 25, 18, 15]","[8, 29, 9, 6, 4, 38, 34, 16]","[12, 28, 11, 24, 30]","[7, 3, 1, 33, 23, 39, 31, 35, 36, 2, 20]","[13, 14, 27, 37, 5]","[10, 32, 19, 22, 21]"
9.298632621765137,2.4113102,"[15, 17, 0, 25, 26]","[6, 4, 18, 24, 30, 11, 12, 7, 28, 38, 9, 29]","[33, 23, 39, 31, 35, 3, 1]","[2, 36, 20]","[8, 16, 34, 13, 14, 27, 37, 5]","[10, 32, 19, 22, 21]"
11.06364643573761,2.0560365,"[26, 17, 0, 25, 18, 24, 30, 11, 4, 6, 15]","[9, 38, 28, 12, 7]","[33, 23, 39, 35, 1, 3, 29]","[20, 2, 36, 8, 16, 34, 13, 31]","[10, 21, 14, 27, 37, 5]","[32, 19, 22]"
9.247240543365479,2.4405043,"[15, 18, 25, 0, 17, 26]","[29, 9, 38, 4, 6]","[30, 24, 11, 28, 3, 1, 12]","[7, 33, 23, 35, 13, 34, 16, 8, 2, 20, 21]","[10, 19, 22, 32]","[39, 31, 14, 27, 37, 5, 36]"
9.225650608539581,2.5235589,"[15, 18, 25, 0, 17, 26]","[6, 9, 29]","[30, 24, 4, 38, 28, 12, 11]","[20, 2, 36, 8, 16, 7, 3, 1, 33, 23, 39, 31, 35]","[10, 34, 13, 14, 27, 37, 5]","[32, 19, 22, 21]"
9.277045965194702,2.4405043,"[26, 17, 0, 25, 18, 4, 15]","[6, 38, 28, 9, 29]","[33, 23, 35, 7, 3, 1, 12, 11, 24, 30]","[20, 2, 8, 16, 34, 13]","[21, 22, 19, 32, 10]","[39, 31, 14, 27, 37, 5, 36]"
9.625974893569946,2.0589576,"[26, 17, 0, 25, 18, 24, 30, 4, 9, 29, 6, 15]","[38, 28, 11, 12, 7]","[1, 3, 35, 31, 39, 23, 33]","[20, 8, 16, 34, 36, 2]","[5, 37, 27, 14, 13, 10]","[32, 19, 22, 21]"
9.44864559173584,2.176178,"[26, 17, 0, 25, 18, 6, 15]","[12, 11, 30, 24, 4, 9, 29]","[28, 38, 7, 3, 1, 35, 31, 39, 23, 33]","[2, 36, 34, 16, 8, 20]","[13, 14, 27, 37, 5]","[10, 32, 19, 22, 21]"
11.352272033691406,2.0560365,"[26, 17, 0, 25, 38, 9, 29, 6, 15]","[4, 24, 30, 11, 12, 28]","[18, 7, 3, 1, 31, 39, 23, 33]","[20, 2, 36, 8, 16, 34, 13, 35]","[5, 37, 27, 14, 21, 10]","[32, 19, 22]"
9.416511222720146,2.3708708,"[15, 17, 0, 25, 26]","[6, 18, 24, 4, 9, 29]","[11, 30]","[12, 3, 1, 33, 23, 39, 31, 35, 7, 28, 38, 20]","[2, 36, 8, 16, 34, 13, 14, 27, 37, 5]","[10, 32, 19, 22, 21]"
9.42813092470169,2.341092,"[26, 17, 0, 25, 18, 9, 29, 15]",[6],"[30, 24, 4, 28, 38, 7, 3, 12, 11]","[20, 2, 36, 8, 35, 31, 39, 23, 33, 1]","[10, 16, 34, 13, 14, 27, 37, 5]","[32, 19, 22, 21]"
9.368329763412476,2.4405043,"[26, 17, 0, 25, 18, 4, 6, 15]","[38, 28, 9, 29]","[30, 24, 11, 12, 1]","[7, 3, 33, 23, 35, 13, 34, 16, 8, 2]","[20, 21, 22, 19, 32, 10]","[39, 31, 14, 27, 37, 5, 36]"
9.45459532737732,2.176178,"[26, 17, 0, 25, 18, 4, 9, 29, 6, 15]","[24, 30, 11, 12, 28, 38]","[1, 3, 7, 35, 31, 39, 23, 33]","[20, 8, 16, 36, 2]","[34, 13, 14, 27, 37, 5]","[10, 32, 19, 22, 21]"
9.651009559631348,2.1249366,"[26, 17, 0, 25, 18, 9, 29, 6, 15]","[4, 24, 30, 11, 12, 1, 3, 7, 28, 38]","[33, 23, 39, 31, 35]","[20, 8, 16, 34, 36, 2]","[10, 19, 22, 32, 13, 14, 27, 37, 5]",[21]
9.679650366306305,2.0589576,"[26, 17, 0, 25, 18, 24, 30, 4, 9, 29, 6, 15]","[7, 3, 12, 11, 28, 38]","[1, 35, 31, 39, 23, 33]","[20, 8, 16, 27, 14, 13, 34, 36, 2]","[37, 5, 10]","[32, 19, 22, 21]"
9.289649605751038,2.8627439,"[26, 17, 0, 25, 18, 9, 6, 15]",[29],"[30, 24, 4, 28, 38, 7, 3, 12, 11]","[1, 33, 23, 39, 31, 35, 20]","[16, 34, 36, 2, 8]","[13, 14, 27, 37, 5, 10, 32, 19, 22, 21]"
9.471312403678894,2.426731,"[26, 17, 0, 25, 18, 6, 15]","[29, 9, 4, 24, 30, 11, 12, 7, 28, 38]","[20, 2, 36, 3, 1]","[33, 23, 39, 31, 35, 13, 34, 16, 8]","[10, 32, 19, 22, 21, 14, 27, 37, 5]",[]
9.522501707077026,2.176178,"[26, 17, 0, 25, 18, 9, 6, 15]","[12, 11, 30, 24, 4, 29]","[33, 23, 39, 31, 35, 1, 3, 7, 38, 28]","[20, 8, 16, 36, 2]","[34, 13, 14, 27, 37, 5]","[10, 32, 19, 22, 21]"
9.39083993434906,2.4405043,"[15, 4, 18, 25, 0, 17, 26]","[6, 38, 28, 9, 29]","[30, 24, 11, 12, 7, 3, 1, 23, 33]","[20, 2, 8, 16, 34, 13, 35]","[21, 22, 19, 32, 10]","[39, 31, 14, 27, 37, 5, 36]"
9.751787662506104,2.1535652,"[26, 17, 0, 25, 18, 15]","[29, 9, 38, 28, 30, 24, 4, 6]","[33, 23, 35, 13, 7, 3, 1, 12, 11]","[20, 2, 8, 34, 16, 10, 32, 19, 22, 21]","[31, 39, 14, 27, 37, 5]",[36]
9.38534927368164,2.860906,"[26, 17, 0, 25, 18, 4, 38, 9, 29, 6, 15]","[34, 16]","[30, 24]","[11, 12, 28, 2, 20]","[8, 36, 7, 3, 1, 33, 23, 39, 31, 35, 13]","[14, 27, 37, 5, 10, 32, 19, 22, 21]"
9.48801839351654,2.3088083,"[26, 17, 0, 25, 18, 15]","[8, 29, 9, 6, 4, 38, 34, 16]","[30, 24, 11, 28, 7, 3, 12]","[1, 33, 23, 39, 31, 35, 36, 2, 20]","[13, 14, 27, 37, 5]","[10, 32, 19, 22, 21]"
9.31597101688385,2.8627439,"[26, 17, 0, 25, 18, 9, 29, 6, 15]","[4, 24, 30, 11, 12, 28, 38]","[1, 3, 7, 35, 31, 39, 23, 33]","[2, 36, 20]","[16, 34, 8]","[13, 14, 27, 37, 5, 10, 32, 19, 22, 21]"
9.313872873783112,2.9005413,"[26, 17, 0, 25, 18, 4, 6, 15]","[29, 9, 2]","[30, 24, 11, 28, 7, 3, 1, 12]","[19, 20]","[16, 34, 35, 31, 39, 23, 33, 36, 8]","[38, 13, 14, 27, 37, 5, 10, 32, 22, 21]"
9.77342426776886,2.0589576,"[26, 17, 0, 25, 18, 9, 29, 6, 15]","[4, 24, 30, 11, 12]","[33, 23, 39, 31, 35, 1, 3, 7, 38, 28]","[20, 8, 16, 34, 36, 2]","[5, 37, 27, 14, 13, 10]","[32, 19, 22, 21]"
9.40128606557846,2.4405043,"[15, 18, 25, 0, 17, 26]","[29, 9, 38, 28, 24, 4, 6]","[12, 1, 3, 7, 11, 30]","[33, 23, 35, 13, 34, 16, 8, 2, 20, 21]","[10, 19, 22, 32]","[39, 31, 14, 27, 37, 5, 36]"
9.610873937606812,2.176178,"[15, 18, 25, 0, 17, 26]","[6, 4, 24, 30, 11, 12, 7, 28, 38, 9, 29]","[1, 3, 31, 39, 23, 33]","[20, 2, 36, 8, 16, 34, 13, 35]","[27, 14, 37, 5]","[10, 32, 19, 22, 21]"
9.525316834449768,2.244878,"[15, 18, 25, 0, 17, 26]","[6, 4, 24, 30, 11, 12, 28, 38, 9, 29]","[1, 3, 7, 35, 31, 39, 23, 33]","[2, 36, 8, 16, 34, 13, 14, 27, 37, 20]","[10, 5]","[32, 19, 22, 21]"
9.48976069688797,2.3699725,"[15, 18, 25, 0, 17, 26]","[6, 9, 29]","[30, 24, 4, 38, 28, 12, 11]","[7, 3, 1, 33, 23, 39, 31, 34, 16, 20]","[8, 36, 2, 35, 13, 14, 27, 37, 5]","[10, 32, 19, 22, 21]"
9.39421010017395,3.0082042,"[26, 17, 0, 25, 18, 9, 29, 6, 15]","[4, 24, 30, 11, 12, 3, 7, 28, 38]","[1, 23, 39, 33]","[2, 36, 8, 20]","[34, 16]","[35, 31, 13, 14, 27, 37, 5, 10, 32, 19, 22, 21]"
9.814988195896149,2.0589576,"[26, 17, 0, 25, 18, 9, 29, 6, 15]","[4, 24, 30, 11, 12]","[28, 38, 7, 3, 1, 35, 31, 39, 23, 33]","[20, 8, 16, 27, 14, 13, 34, 36, 2]","[37, 5, 10]","[32, 19, 22, 21]"
9.793198764324188,2.1257935,"[26, 17, 15]","[29, 9, 4, 25, 0, 18, 6]","[12, 3, 7, 38, 28, 11, 24, 30]","[1, 33, 23, 39, 31, 35]","[10, 20, 2, 36, 8, 16, 34, 13, 14, 27, 37, 5]","[32, 19, 22, 21]"
9.614208340644836,2.176178,"[15, 18, 25, 0, 17, 26]","[6, 4, 24, 30, 11, 28, 38, 9, 29]","[12, 1, 3, 7, 31, 39, 23, 33]","[2, 36, 34, 16, 8, 20]","[35, 13, 14, 27, 37, 5]","[10, 32, 19, 22, 21]"
9.444295406341553,2.4405043,"[26, 17, 0, 25, 18, 15]","[29, 9, 4, 6]","[11, 28, 38, 24, 30]","[7, 3, 1, 12, 33, 23, 35, 13, 34, 16, 8]","[10, 32, 19, 22, 21, 20, 2]","[39, 31, 14, 27, 37, 5, 36]"
9.830546975135803,2.074922,"[26, 17, 0, 25, 18, 9, 29, 6, 15]","[4, 24, 30, 11, 12, 3, 7, 28, 38]","[33, 23, 39, 31, 35, 1]","[20, 2, 36, 8, 16, 34, 13]","[5, 37, 14, 27, 10]","[32, 19, 22, 21]"
9.407815933227539,2.860906,"[15, 18, 25, 0, 17, 26]","[6, 4, 24, 30, 11, 12, 3, 7, 28, 38, 9, 29]","[1, 35, 31, 39, 23, 33]","[2, 36, 20]","[8, 16, 34, 13]","[14, 27, 37, 5, 10, 32, 19, 22, 21]"
9.522196054458618,2.3732393,"[26, 17, 15]","[6, 18, 0, 25, 24, 4, 9, 29]","[30, 11, 28, 38, 12]","[7, 3, 1, 33, 23, 39, 31, 35, 8, 36, 2, 20]","[16, 34, 13, 14, 27, 37, 5]","[10, 32, 19, 22, 21]"
