f1,f2,robot_1,robot_2,robot_3
5.397888779640198,2.1809525,"[1, 2, 18, 8, 4, 17]","[9, 15, 11]","[3, 6, 10, 19, 7, 0, 12, 13, 5, 16, 14]"
4.691760182380676,2.9519403,"[15, 9, 11, 17, 4, 8, 10, 19, 18, 7, 2, 1]",[],"[13, 12, 0, 5, 16, 14, 6, 3]"
5.697840571403503,1.9436159,"[1, 2, 8, 4, 17]","[11, 15, 18, 7, 9]","[3, 6, 10, 19, 5, 0, 12, 13, 16, 14]"
5.439136505126953,2.0069296,"[1, 2, 7, 8, 4, 17]","[9, 15, 18, 11]","[3, 6, 10, 19, 5, 0, 12, 13, 16, 14]"
5.513117671012878,2.3023148,"[1, 2, 8, 4, 17]","[9, 15, 11]","[3, 6, 10, 19, 18, 7, 0, 12, 13, 5, 16, 14]"
5.538965463638306,2.0145285,"[1, 2, 18, 8, 4]","[17, 19, 7, 15, 9, 11]","[13, 12, 0, 5, 16, 14, 10, 6, 3]"
5.699289917945862,1.9696887,"[17, 4, 8, 18, 7, 2]","[11, 15, 1, 9]","[3, 6, 10, 19, 5, 0, 12, 13, 16, 14]"
5.447385251522064,2.912232,"[9, 11, 4, 8, 18, 7, 2, 1]","[15, 19, 5, 0, 12, 13, 16, 10, 6, 17]","[14, 3]"
5.677685499191284,2.176004,"[1, 2, 18, 8, 4]","[17, 10, 19, 7, 15, 9, 11]","[13, 12, 0, 5, 16, 14, 6, 3]"
5.700348615646362,2.0117066,"[17, 4, 15, 1, 2]","[8, 19, 7, 18, 9, 11]","[3, 6, 10, 14, 16, 5, 0, 12, 13]"
5.643758058547974,2.1809525,"[1, 2, 8, 4, 17]","[9, 15, 18, 11]","[3, 6, 10, 19, 7, 0, 12, 13, 5, 16, 14]"
5.708886504173279,1.9965619,"[1, 2, 18, 8, 4, 17]","[19, 7, 15, 9, 11]","[3, 6, 10, 14, 16, 5, 0, 12, 13]"
5.712002158164978,2.6942685,"[17, 4, 8, 1]","[9, 15, 11]","[3, 6, 10, 19, 18, 7, 2, 12, 0, 13, 5, 16, 14]"
5.6503214836120605,2.8835154,"[17, 4, 8, 7, 2, 1]","[11, 9, 15, 18, 19, 5, 0, 12, 13, 16, 14, 10]","[6, 3]"
5.717709541320801,2.0115182,"[1, 2, 8, 4, 17]","[11, 9, 15, 18, 7, 19]","[3, 6, 10, 14, 16, 5, 0, 12, 13]"
5.7481502294540405,2.0471587,"[1, 2, 7, 8, 4, 17, 15]","[11, 9, 18, 19, 10]","[13, 12, 0, 5, 16, 14, 6, 3]"
5.764466762542725,2.1261759,"[9, 11, 17, 4, 8, 15, 1, 2]","[18, 19, 10, 6]","[13, 12, 0, 7, 5, 16, 14, 3]"
5.801890969276428,2.0711079,"[9, 11, 17, 4, 2, 1]","[8, 18, 7, 15]","[3, 6, 10, 19, 5, 0, 12, 13, 16, 14]"
5.752730488777161,2.7990406,"[17, 4, 8, 18, 7, 2]","[11, 9]","[14, 16, 5, 13, 0, 12, 1, 15, 19, 10, 6, 3]"
5.837774872779846,2.058908,"[2, 1, 15, 8, 4, 11]","[17, 19, 7, 18, 9]","[13, 12, 0, 5, 16, 14, 10, 6, 3]"
5.832209944725037,2.1460958,"[1, 15, 8, 4, 17, 9]","[2, 7, 18, 11]","[3, 6, 10, 19, 5, 0, 12, 13, 16, 14]"
5.835104823112488,2.0808864,"[1, 2, 8, 4, 17, 11]","[15, 18, 7, 9]","[3, 6, 10, 19, 5, 0, 12, 13, 16, 14]"
5.813730001449585,2.1578898,"[17, 4, 8, 18]","[11, 15, 7, 2, 1, 9]","[3, 6, 10, 19, 5, 0, 12, 13, 16, 14]"
5.871481418609619,2.0661063,"[17, 4, 8, 1]","[11, 9, 15, 18, 19, 10, 6]","[3, 14, 16, 5, 7, 2, 12, 0, 13]"
5.770615220069885,2.1728463,"[17, 4, 8]","[9, 1, 2, 7, 18, 15, 11]","[3, 6, 10, 19, 5, 0, 12, 13, 16, 14]"
5.875599145889282,2.0622077,"[17, 4, 8, 2]","[11, 15, 18, 7, 1, 9]","[3, 6, 10, 19, 5, 0, 12, 13, 16, 14]"
5.8740222454071045,2.140376,"[1, 2, 8, 4, 17]","[11, 9, 15, 18, 19]","[3, 6, 10, 14, 16, 5, 7, 0, 12, 13]"
5.824398040771484,2.160834,"[17, 4, 8, 1]","[9, 2, 7, 18, 15, 11]","[3, 6, 10, 19, 5, 0, 12, 13, 16, 14]"
5.931390285491943,2.0977604,"[9, 11, 17, 4, 8, 18, 2, 1]","[15, 7, 19, 10]","[3, 6, 14, 16, 5, 0, 12, 13]"
5.917510986328125,2.1096652,"[17, 4, 8, 7]","[9, 1, 2, 18, 15, 11]","[3, 6, 10, 19, 5, 0, 12, 13, 16, 14]"
6.044196367263794,2.0855873,"[1, 2, 8, 17, 9]","[11, 15, 18, 19, 6, 4]","[3, 10, 14, 16, 5, 7, 0, 12, 13]"
5.770615339279175,2.1728463,"[17, 4, 8]","[9, 1, 2, 7, 18, 15, 11]","[14, 16, 13, 12, 0, 5, 19, 10, 6, 3]"
5.820741772651672,2.5253687,"[1, 2, 8, 4, 17, 11, 9]","[15, 18, 7, 5, 19, 14, 10, 6]","[13, 12, 0, 16, 3]"
5.859319806098938,2.1697507,"[17, 4, 8, 18, 2, 1]","[11, 9, 15, 7, 19, 10]","[13, 12, 0, 5, 16, 14, 6, 3]"
6.006706953048706,2.1176207,"[1, 2, 18, 8, 4, 17]","[11, 9, 15, 19, 10]","[13, 12, 0, 7, 5, 16, 14, 6, 3]"
5.953083872795105,2.1261759,"[9, 11, 17, 4, 8, 15, 1, 2]","[18, 7, 5, 19]","[3, 6, 10, 14, 16, 0, 12, 13]"
5.798598408699036,2.873659,"[15, 17, 4, 18, 2]","[11, 9]","[3, 6, 10, 8, 1, 7, 19, 5, 0, 12, 13, 16, 14]"
6.019766688346863,2.1550221,"[1, 2, 18, 15, 4, 17, 11, 9]","[8, 7, 19, 10]","[13, 12, 0, 5, 16, 14, 6, 3]"
5.8612140417099,2.2057118,"[1, 2, 8, 4, 17]","[11, 9, 15, 18, 7, 5, 19]","[3, 6, 10, 14, 16, 0, 12, 13]"
5.985445022583008,2.158605,"[11, 17, 4, 8, 18, 2, 1]","[9, 15, 7, 19, 10]","[3, 6, 14, 16, 5, 0, 12, 13]"
5.894663095474243,2.1728463,"[17, 4, 8, 19]","[11, 15, 18, 7, 2, 1, 9]","[3, 6, 10, 14, 16, 5, 0, 12, 13]"
5.8681429624557495,2.1847072,"[1, 2, 8, 4, 17]","[11, 9, 15, 18, 7, 19, 10]","[13, 12, 0, 5, 16, 14, 6, 3]"
6.024455666542053,2.1176207,"[1, 2, 8, 4, 17]","[11, 9, 15, 18, 19, 10]","[13, 12, 0, 7, 5, 16, 14, 6, 3]"
5.842642307281494,2.572906,"[17, 4, 8, 1]","[9, 15, 18, 11]","[3, 6, 10, 19, 7, 2, 12, 0, 13, 5, 16, 14]"
6.21245813369751,2.14113,"[9, 11, 17, 4, 15, 1, 2]","[8, 18, 5, 14]","[16, 13, 12, 0, 7, 19, 10, 6, 3]"
5.861743927001953,2.414417,"[17, 4, 8]","[9, 1, 2, 7, 19, 18, 15, 11]","[13, 12, 0, 5, 16, 14, 10, 6, 3]"
5.994267582893372,2.1735613,"[1, 2, 8, 4, 17, 11]","[9, 15, 18, 7, 19, 10]","[13, 12, 0, 5, 16, 14, 6, 3]"
6.156525135040283,2.1652298,"[1, 2, 8, 4, 17, 11]","[9, 15, 18, 7, 10]","[16, 13, 12, 0, 5, 19, 14, 6, 3]"
5.9571967124938965,2.2510128,"[1, 2, 8, 4, 17]","[11, 9, 15, 18, 7, 19, 14]","[13, 12, 0, 5, 16, 10, 6, 3]"
5.846008539199829,2.9061313,"[1, 2, 8, 4, 17]","[11, 9, 15, 18, 7, 0, 12, 13, 5, 19, 10]","[3, 6, 14, 16]"
5.915526747703552,2.4024048,"[17, 4, 8, 1]","[9, 2, 7, 19, 18, 15, 11]","[13, 12, 0, 5, 16, 14, 10, 6, 3]"
5.915526747703552,2.4024048,"[17, 4, 8, 1]","[11, 15, 18, 19, 7, 2, 9]","[13, 12, 0, 5, 16, 14, 10, 6, 3]"
5.964006066322327,2.2896414,"[2, 1, 15, 8, 4, 17, 9]","[10, 19, 5, 7, 18, 11]","[3, 6, 14, 16, 0, 12, 13]"
5.861744046211243,2.414417,"[17, 4, 8]","[9, 1, 2, 7, 19, 18, 15, 11]","[3, 6, 10, 14, 16, 5, 0, 12, 13]"
6.029152154922485,2.1809525,"[17, 4, 8, 1]","[11, 15, 18, 2, 9]","[3, 6, 10, 19, 7, 0, 12, 13, 5, 16, 14]"
5.985649824142456,2.3042283,"[1, 2, 8, 4, 17]","[11, 9, 15, 18, 7, 19, 14, 10]","[13, 12, 0, 5, 16, 6, 3]"
5.887442708015442,2.650567,"[17, 4, 8, 18, 7, 2]","[9, 15, 11]","[3, 6, 10, 19, 1, 12, 0, 13, 5, 16, 14]"
5.863962292671204,3.0287285,"[17, 4, 8, 18, 2, 1]","[11, 9, 15, 7, 0, 12, 13, 5, 16, 19, 10]","[3, 6, 14]"
5.875498831272125,2.8501284,"[9, 11, 17, 8, 15, 18, 2, 1]","[7, 0, 12, 13, 5, 16, 14, 19, 4]","[6, 10, 3]"
6.051212906837463,2.2402852,"[1, 2, 4, 17, 11, 9]","[10, 19, 7, 18, 15, 8]","[13, 12, 0, 5, 16, 14, 6, 3]"
5.989561557769775,2.5288036,"[1, 2, 8, 4, 17]","[11, 18, 9]","[3, 6, 10, 19, 15, 7, 0, 12, 13, 5, 16, 14]"
5.899632930755615,2.6636155,"[1, 2, 7, 8, 4, 17]","[11, 9, 15, 18, 19, 5, 13, 10, 6]","[12, 0, 16, 14, 3]"
6.002824306488037,2.3639443,"[1, 2, 18, 8, 4, 17]","[11, 9, 15, 7, 5, 19, 10]","[3, 6, 14, 16, 0, 12, 13]"
6.074962258338928,2.2823412,"[18, 19, 11, 9]","[17, 4, 8, 7, 2, 1, 15]","[13, 12, 0, 5, 16, 14, 10, 6, 3]"
5.890196323394775,2.8282046,"[1, 2, 18, 8, 4, 17]","[16, 5, 13, 12, 0, 7, 15, 9, 11]","[3, 6, 10, 19, 14]"
