f1,f2,robot_1,robot_2,robot_3,robot_4,robot_5,robot_6
7.806169271469116,2.4020133,"[1, 13, 29, 21, 14, 6, 26, 9, 10, 8]","[22, 17, 3, 19, 15, 23]","[28, 5, 20, 7, 12]","[27, 24, 11, 18]",[],"[25, 16, 4, 2, 0]"
8.212059199810028,1.9882448,"[9, 26, 6, 14, 21, 29]","[10, 8, 15, 23, 19, 1, 13]","[20, 11, 22, 17, 3]",[],"[5, 28, 12, 7]","[18, 24, 27, 25, 16, 4, 2, 0]"
8.971104264259338,1.761786,"[29, 21, 14, 6]","[9, 10, 8, 23, 15, 1, 13, 26]","[3, 19, 5, 28]","[22, 17, 11, 20, 7]",[12],"[18, 24, 27, 25, 16, 4, 2, 0]"
7.625050723552704,2.744689,"[29, 21, 14, 6]",[26],"[28, 5, 3, 19, 23, 15, 8, 10, 9, 1, 13, 22, 17, 11, 12]","[0, 18, 24, 20, 7, 27, 25]",[],"[2, 4, 16]"
8.33892822265625,1.8184681,[14],"[26, 6, 21, 29, 13, 1, 8, 10, 9]","[3, 19, 15, 23, 5]",[],"[17, 22, 11, 24, 20, 7, 12, 28]","[18, 25, 27, 16, 4, 2, 0]"
8.377743005752563,2.02151,"[29, 21, 14, 6, 26, 9, 10, 8]","[13, 1, 15, 23]","[28, 5, 3, 19, 22]","[17, 11, 24, 20, 7, 12, 27]",[],"[18, 25, 16, 4, 2, 0]"
8.62827217578888,1.8325539,"[29, 21, 14, 6]","[9, 10, 8, 1, 13, 26]","[12, 3, 19, 15, 23, 5, 28]","[22, 17, 11]","[20, 24, 27, 7]","[18, 25, 16, 4, 2, 0]"
7.953382968902588,2.7093508,"[29, 21, 14, 6]",[26],"[17, 22, 13, 1, 9, 10, 8, 15, 23, 19, 3, 5]",[],"[28, 12]","[18, 11, 24, 20, 7, 27, 25, 16, 4, 2, 0]"
9.09327244758606,1.828359,"[29, 21, 14, 6]","[26, 13, 1, 15, 8, 10, 9]","[28, 5, 23, 19, 3, 12]","[17, 22]","[11, 24, 20, 7]","[18, 25, 27, 16, 4, 2, 0]"
9.280684471130371,1.8277738,"[29, 21, 14, 6]","[9, 10, 8, 15, 1, 13, 26]","[3, 19, 23, 5, 28]","[17, 22]","[11, 24, 20, 7, 12]","[18, 25, 27, 16, 4, 2, 0]"
8.510457038879395,1.9859657,"[13, 29, 21, 14, 6, 26, 9]","[1, 15, 23, 8, 10]","[28, 5, 19, 3, 12]","[22, 17, 11]","[20, 24, 27, 7]","[18, 25, 16, 4, 2, 0]"
8.572970986366272,1.9723017,"[29, 21, 14, 6, 26, 9, 10]","[8, 15, 1, 13]","[5, 23, 19, 3]",[],"[17, 22, 11, 24, 20, 7, 12, 28]","[18, 25, 27, 16, 4, 2, 0]"
8.456428408622742,1.9901692,"[13, 29, 21, 14, 6, 26, 9, 10]","[8, 23, 15, 1]","[3, 19, 22]",[],"[17, 11, 20, 7, 12, 28, 5]","[18, 24, 27, 25, 16, 4, 2, 0]"
8.51368522644043,1.9952011,"[13, 29, 21, 14, 6, 26, 9, 10, 8]","[1, 15, 23]","[28, 5, 19, 3, 12]","[22, 17, 11]","[20, 24, 27, 7]","[18, 25, 16, 4, 2, 0]"
9.38893723487854,1.9158194,"[29, 21, 14, 6]","[9, 10, 8, 23, 15, 1, 13, 26]","[3, 19, 5, 28]","[22, 12]","[17, 11, 24, 20, 7]","[0, 2, 4, 16, 27, 25, 18]"
8.907758951187134,1.9723017,"[29, 21, 14, 6, 26, 9, 10]","[8, 23, 15, 1, 13]","[3, 19, 5, 28]","[22, 17, 11]","[20, 7, 12]","[18, 24, 27, 25, 16, 4, 2, 0]"
10.491160869598389,1.855191,"[29, 21, 14, 6]","[9, 10, 8, 15, 1, 13, 26]","[3, 19, 23, 5, 28]","[20, 7, 12]","[17, 22, 18, 11]","[24, 27, 25, 16, 4, 2, 0]"
9.369290351867676,1.9585981,"[14, 21, 29]","[9, 10, 8, 1, 13, 6, 26]","[28, 5, 23, 15, 19, 3]","[22, 17, 11, 20, 7, 12]","[24, 27]","[18, 25, 16, 4, 2, 0]"
8.42010772228241,2.2448654,"[29, 21, 14, 6, 26, 9, 10]","[8, 15, 1, 13]","[28, 5, 3, 19, 23, 17, 22, 11, 20, 12]",[],[7],"[18, 24, 27, 25, 16, 4, 2, 0]"
8.778974413871765,1.9935999,"[29, 21, 14, 6]","[9, 10, 8, 15, 23, 19, 1, 13, 26]","[3, 5, 28]","[22, 17, 11]","[20, 7, 12]","[18, 24, 27, 25, 16, 4, 2, 0]"
9.549283862113953,1.9158194,"[29, 21, 14, 6]","[26, 13, 1, 8, 10, 9]","[28, 5, 23, 15, 19, 3]","[22, 12]","[17, 11, 24, 27, 20, 7]","[18, 25, 16, 4, 2, 0]"
9.11955738067627,1.9723017,"[29, 21, 14, 6, 26, 9, 10]","[8, 15, 1, 13]","[28, 5, 23, 19, 3, 12]",[22],"[7, 20, 27, 24, 11, 17]","[18, 25, 16, 4, 2, 0]"
9.392372369766235,1.9576379,"[29, 21, 14, 6]","[26, 13, 1, 8, 10, 9]","[28, 5, 23, 15, 19, 3]","[22, 17, 11, 20, 12]","[7, 27, 24]","[18, 25, 16, 4, 2, 0]"
9.018382787704468,1.9835945,"[8, 10, 9, 26, 6, 14, 21, 29]","[23, 15, 19, 1, 13]","[3, 5, 28]","[22, 17, 11]","[20, 7, 12]","[18, 24, 27, 25, 16, 4, 2, 0]"
9.39729630947113,1.9484994,"[29, 21, 14, 6]","[9, 10, 8, 1, 13, 26]","[28, 5, 23, 15, 19, 3]","[22, 17, 11, 12]","[20, 24, 27, 7]","[18, 25, 16, 4, 2, 0]"
