f1,f2,robot_1,robot_2,robot_3,robot_4
7.977417945861816,2.2382863,"[39, 11, 35, 20, 2, 1]","[18, 28, 34, 9, 7, 14, 6, 29, 21, 24, 37, 16]","[38, 32, 27, 19, 33, 12, 10, 30, 3, 8, 0]","[36, 31, 17, 15, 4, 26, 5, 25, 13, 23, 22]"
6.97804868221283,2.3380334,"[29, 28, 37, 1, 2, 20, 35, 11, 39, 16, 18, 34, 9]","[7, 14, 33, 19, 27, 32, 12, 6]","[0, 8, 3, 30, 26, 24, 21, 10, 5, 38]","[36, 31, 17, 4, 15, 25, 13, 23, 22]"
8.203785181045532,2.235736,"[1, 2, 20, 35, 11]","[39, 16, 37, 28, 29, 19, 33, 14, 7, 9, 6, 34, 18]","[0, 30, 10, 21, 12, 32, 27, 38]","[36, 31, 17, 15, 4, 24, 26, 5, 8, 3, 25, 13, 23, 22]"
7.506817102432251,2.2523398,"[1, 2, 20, 35, 11, 39, 16]","[18, 34, 6, 9, 7, 14, 33, 19, 12, 29, 28, 37]","[0, 8, 3, 5, 10, 30, 26, 24, 21, 32, 27, 38]","[36, 31, 17, 4, 15, 25, 13, 23, 22]"
7.048780798912048,2.2973547,"[28, 37, 1, 2, 20, 35, 11, 39, 16, 18]","[7, 14, 33, 19, 27, 32, 12, 29, 6, 9, 34]","[38, 5, 10, 21, 24, 26, 30, 3, 8, 0]","[36, 31, 17, 4, 15, 25, 13, 23, 22]"
7.161644101142883,2.260745,"[37, 1, 2, 20, 35, 11, 39, 16]","[18, 34, 6, 9, 7, 14, 33, 19, 27, 32, 12, 29, 28]","[38, 5, 10, 21, 24, 4, 15, 26, 30, 3, 8, 0]","[36, 31, 17, 25, 13, 23, 22]"
7.859094500541687,2.2396493,"[18, 39, 11, 35, 20, 2, 1]","[16, 37, 28, 34, 29, 6, 9, 33, 19, 14, 7]","[0, 8, 10, 30, 26, 24, 21, 12, 32, 27, 38]","[36, 31, 17, 15, 4, 5, 3, 25, 13, 23, 22]"
7.025687575340271,2.3139057,"[28, 37, 1, 2, 20, 35, 11, 39, 16, 18, 34]","[9, 6, 29, 12, 32, 27, 19, 33, 14, 7]","[0, 8, 3, 30, 26, 24, 21, 10, 5, 38]","[36, 31, 17, 4, 15, 25, 13, 23, 22]"
7.013227581977844,2.3357928,"[29, 28, 37, 1, 2, 20, 35, 11, 39, 16, 18, 34]","[7, 14, 33, 19, 27, 32, 12, 6, 9]","[38, 5, 10, 21, 24, 26, 30, 3, 8, 0]","[36, 31, 17, 4, 15, 25, 13, 23, 22]"
7.093427300453186,2.2894495,"[37, 1, 2, 20, 35, 11, 39, 16, 18]","[34, 6, 9, 7, 14, 33, 19, 27, 32, 12, 29, 28]","[0, 8, 3, 30, 26, 24, 21, 10, 5, 38]","[36, 31, 17, 4, 15, 25, 13, 23, 22]"
8.684329986572266,2.217177,"[1, 2, 20, 35, 39, 16, 28, 6]","[11, 37, 24, 21, 29, 19, 33, 14, 7, 9, 34, 18]","[5, 30, 15, 4, 26, 10, 12, 32, 27, 38]","[22, 23, 13, 25, 0, 8, 3, 17, 31, 36]"
6.967216730117798,2.4737253,"[29, 28, 37, 1, 2, 20, 35, 11, 39, 16, 18, 34, 6, 9]","[7, 14, 33, 19, 27, 32, 12, 21, 10, 30, 26, 24]","[0, 8, 3, 5, 38]","[36, 31, 17, 4, 15, 25, 13, 23, 22]"
7.000945210456848,2.340826,"[29, 28, 37, 1, 2, 20, 35, 11, 39, 16, 18, 34, 6]","[7, 14, 33, 19, 27, 32, 12, 9]","[38, 5, 10, 21, 24, 26, 30, 3, 8, 0]","[36, 31, 17, 4, 15, 25, 13, 23, 22]"
7.83161723613739,2.2562003,"[34, 18, 39, 11, 35, 20, 2, 1]","[16, 37, 28, 29, 6, 9, 33, 19, 14, 7]","[0, 8, 30, 10, 21, 12, 32, 27, 38]","[22, 23, 13, 25, 3, 5, 26, 24, 4, 15, 17, 31, 36]"
7.161644220352173,2.260745,"[16, 39, 11, 35, 20, 2, 1, 37]","[18, 34, 6, 9, 7, 14, 33, 19, 27, 32, 12, 29, 28]","[0, 8, 3, 30, 26, 15, 4, 24, 21, 10, 5, 38]","[36, 31, 17, 25, 13, 23, 22]"
7.87200927734375,2.2396493,"[1, 2, 20, 35, 11, 39, 18]","[16, 28, 34, 6, 9, 7, 14, 33, 19, 29, 21, 24, 37]","[0, 8, 5, 30, 26, 10, 12, 32, 27, 38]","[22, 23, 13, 25, 3, 4, 15, 17, 31, 36]"
8.121388792991638,2.2382863,"[39, 11, 35, 20, 2, 1]","[16, 37, 28, 29, 19, 33, 14, 7, 9, 6, 34, 18]","[0, 5, 10, 30, 26, 24, 21, 12, 32, 27, 38]","[36, 31, 17, 15, 4, 3, 8, 25, 13, 23, 22]"
7.147182941436768,2.2894495,"[37, 1, 2, 20, 35, 11, 39, 16, 18]","[34, 28, 29, 6, 9, 33, 19, 14, 7]","[0, 8, 3, 5, 10, 30, 26, 24, 21, 12, 32, 27, 38]","[36, 31, 17, 4, 15, 25, 13, 23, 22]"
7.099522709846497,2.3060007,"[37, 1, 2, 20, 35, 11, 39, 16, 18, 34]","[6, 9, 7, 14, 33, 19, 27, 32, 12, 29, 28]","[38, 5, 10, 21, 24, 26, 30, 3, 8, 0]","[36, 31, 17, 4, 15, 25, 13, 23, 22]"
7.116269946098328,2.2973547,"[28, 37, 1, 2, 20, 35, 11, 39, 16, 18]","[34, 29, 6, 9, 33, 19, 14, 7]","[0, 8, 3, 5, 10, 30, 26, 24, 21, 12, 32, 27, 38]","[36, 31, 17, 4, 15, 25, 13, 23, 22]"
6.986833214759827,3.0134375,"[6, 28, 37, 1, 2, 20, 35, 11, 39, 16, 18, 34]","[9, 7, 14, 33, 19, 27, 32, 12, 29, 21, 10, 5, 3, 30, 26, 24]","[38, 8, 0]","[36, 31, 17, 4, 15, 25, 13, 23, 22]"
7.025687873363495,2.3139057,"[34, 18, 16, 39, 11, 35, 20, 2, 1, 37, 28]","[7, 14, 33, 19, 27, 32, 12, 29, 6, 9]","[38, 5, 10, 21, 24, 26, 30, 3, 8, 0]","[22, 23, 13, 25, 15, 4, 17, 31, 36]"
7.260234355926514,2.260745,"[37, 1, 2, 20, 35, 11, 39, 16]","[18, 34, 6, 9, 7, 14, 33, 19, 27, 32, 12, 29, 28]","[0, 8, 3, 30, 26, 4, 24, 21, 10, 5, 38]","[36, 31, 17, 15, 25, 13, 23, 22]"
7.852417826652527,2.2562003,"[34, 18, 39, 11, 35, 20, 2, 1]","[16, 28, 6, 9, 7, 14, 33, 19, 29, 21, 24, 37]","[0, 8, 5, 30, 26, 10, 12, 32, 27, 38]","[36, 31, 17, 15, 4, 3, 25, 13, 23, 22]"
8.215211749076843,2.2425706,"[6, 34, 18, 16, 39, 35, 20, 2, 1]","[28, 9, 7, 14, 33, 19, 29, 21, 24, 37, 11]","[0, 5, 30, 26, 10, 12, 32, 27, 38]","[36, 31, 17, 15, 4, 3, 8, 25, 13, 23, 22]"
7.053455859422684,2.340826,"[29, 28, 37, 1, 2, 20, 35, 11, 39, 16, 18, 34, 6]","[7, 14, 33, 19, 27, 32, 12, 9]","[38, 5, 10, 21, 24, 26, 30, 4, 15, 17, 31, 25, 3, 8, 0]","[36, 13, 23, 22]"
8.17570161819458,2.2503805,"[1, 2, 20, 35, 11, 39]","[18, 34, 28, 6, 9, 7, 14, 33, 19, 29, 21, 24, 37, 16]","[0, 8, 5, 30, 15, 4, 26, 10, 12, 32, 27, 38]","[36, 31, 17, 3, 25, 13, 23, 22]"
7.190147876739502,2.2894495,"[37, 1, 2, 20, 35, 11, 39, 16, 18]","[34, 6, 9, 7, 14, 33, 19, 27, 32, 12, 29, 28]","[0, 8, 3, 30, 26, 15, 4, 24, 21, 10, 5, 38]","[36, 31, 17, 25, 13, 23, 22]"
7.1224082708358765,2.3139057,"[28, 37, 1, 2, 20, 35, 11, 39, 16, 18, 34]","[7, 14, 33, 19, 27, 32, 12, 29, 6, 9]","[38, 5, 10, 21, 24, 4, 15, 26, 30, 3, 8, 0]","[36, 31, 17, 25, 13, 23, 22]"
7.007069289684296,2.376836,"[29, 28, 37, 1, 2, 20, 35, 11, 39, 16, 18, 34, 6, 9]","[7, 14, 33, 19, 27, 32, 12]","[0, 8, 3, 30, 26, 24, 21, 10, 5, 38]","[22, 23, 13, 25, 15, 4, 17, 31, 36]"
8.086262226104736,2.2523398,"[16, 39, 11, 35, 20, 2, 1]","[37, 28, 29, 19, 33, 14, 7, 9, 6, 34, 18]","[0, 5, 10, 30, 26, 24, 21, 12, 32, 27, 38]","[36, 31, 17, 15, 4, 3, 8, 25, 13, 23, 22]"
8.274521946907043,2.2396493,"[1, 2, 20, 35, 11, 39, 18]","[16, 28, 34, 6, 9, 7, 14, 33, 19, 29, 21, 37]","[0, 5, 30, 26, 24, 10, 12, 32, 27, 38]","[36, 31, 17, 15, 4, 3, 8, 25, 13, 23, 22]"
7.035439133644104,2.376836,"[9, 6, 34, 18, 16, 39, 11, 35, 20, 2, 1, 37, 28, 29]","[7, 14, 33, 19, 27, 32, 12, 21, 24]","[0, 8, 3, 30, 26, 10, 5, 38]","[36, 31, 17, 4, 15, 25, 13, 23, 22]"
8.140575408935547,2.2523398,"[16, 39, 11, 35, 20, 2, 1]","[37, 24, 21, 29, 19, 33, 14, 7, 9, 6, 28, 34, 18]","[0, 8, 5, 30, 15, 4, 26, 10, 12, 32, 27, 38]","[36, 31, 17, 3, 25, 13, 23, 22]"
7.217859625816345,2.2964623,"[29, 28, 1, 2, 20, 35, 11, 39, 18, 34, 9]","[16, 37, 6, 33, 19, 14, 7]","[0, 8, 3, 5, 10, 30, 26, 24, 21, 12, 32, 27, 38]","[36, 31, 17, 4, 15, 25, 13, 23, 22]"
7.895684242248535,2.2562003,"[34, 18, 39, 11, 35, 20, 2, 1]","[37, 21, 29, 19, 33, 14, 7, 9, 6, 28, 16]","[0, 8, 5, 30, 26, 24, 10, 12, 32, 27, 38]","[36, 31, 17, 15, 4, 3, 25, 13, 23, 22]"
7.5339518785476685,2.260745,"[37, 1, 2, 20, 35, 11, 39, 16]","[18, 34, 28, 29, 6, 9, 33, 19, 14, 7]","[0, 8, 5, 10, 30, 26, 24, 21, 12, 32, 27, 38]","[22, 23, 13, 25, 3, 4, 15, 17, 31, 36]"
