f1,f2,robot_1,robot_2,robot_3,robot_4
6.332834482192993,3.127834,"[2, 6, 9, 14, 20, 15, 28, 1, 10, 4, 3, 29, 22, 25, 23, 16, 7]","[12, 26, 21, 24]","[19, 8, 17, 27, 11, 18, 0, 5, 13]",[]
6.129900813102722,3.3629143,"[24, 27, 20, 15, 14, 9, 6, 2, 25, 26, 22, 29, 3, 4, 10, 28, 23, 16, 7]","[21, 12]","[13, 5, 1, 0, 18, 11, 17, 8, 19]",[]
6.731416344642639,2.9358253,"[16, 21, 25, 29, 3, 28, 18, 27, 8, 17, 20, 15, 14, 6, 24]","[7, 12, 22, 26, 4, 10, 23, 11, 9, 2]","[19, 0, 1, 5, 13]",[]
7.452041029930115,2.577162,"[2, 6, 9, 14, 20, 24, 16, 21, 25, 3, 26, 7]","[12, 22, 29, 4, 28, 23]","[19, 8, 17, 18, 0, 5, 13]","[1, 10, 11, 15, 27]"
6.944080948829651,2.9142015,"[24, 2, 6, 9, 14, 20, 18, 3, 29, 26, 25, 23, 16, 21, 7]","[12, 22, 4, 10, 28, 11, 15]","[19, 8, 17, 27, 0, 1, 5, 13]",[]
6.977972090244293,2.8240962,"[2, 6, 9, 14, 15, 20, 17, 27, 18, 3, 29, 22, 26, 25, 21, 16]","[24, 23, 28, 11, 1, 0, 10, 4, 12, 7]","[13, 5, 19]",[8]
7.2160927057266235,2.817311,"[2, 6, 9, 14, 20, 17, 18, 4, 3, 29, 22, 26, 25, 21, 16, 7]","[12, 23, 28, 8, 15, 24]","[19, 27, 11, 10, 0, 1, 5, 13]",[]
7.878721594810486,2.4306188,"[7, 21, 16, 24, 11, 27, 17, 20, 15, 14, 9, 6, 2]","[12, 22, 29, 3, 4, 5]","[19, 28, 23, 25, 26, 10, 13]","[8, 18, 0, 1]"
7.400640487670898,2.7421784,"[16, 21, 25, 3, 28, 18, 19, 8, 17, 27, 15, 24]","[2, 6, 9, 14, 20, 11, 23, 4, 29, 26, 22, 12, 7]","[0, 10, 5, 13]",[1]
7.417686492204666,2.8399804,"[24, 15, 20, 14, 9, 6, 2, 23, 4, 3, 29, 26, 25, 21, 16]","[7, 12, 22, 5, 13, 1, 0, 11, 28]",[19],"[8, 17, 27, 10, 18]"
9.139761924743652,2.4383192,"[7, 16, 25, 23, 27, 17, 20, 15, 14, 9, 6, 2]","[12, 21, 10, 13, 24]","[5, 4, 29, 0, 8, 19]","[18, 11, 28, 26, 22, 3, 1]"
7.967004477977753,2.5171885,"[16, 21, 25, 26, 29, 3, 4, 10, 28, 11, 15, 20, 14, 9, 6, 2]","[23, 0, 1, 13, 22, 12, 7]","[5, 18, 24, 27, 8, 19]",[17]
6.507753759622574,3.2792268,"[7, 16, 21, 25, 26, 22, 29, 3, 4, 10, 18, 27, 8, 17, 20, 15, 14, 9, 6, 2, 24]","[23, 28, 0, 12]","[11, 1, 5, 13]",[19]
6.786097884178162,3.061098,"[16, 21, 25, 26, 22, 29, 3, 4, 10, 0, 18, 11, 27, 20, 15, 14, 9, 6, 2, 24]","[7, 12, 28, 23]","[19, 8, 17, 1, 13]",[5]
7.666647553443909,2.7101355,"[25, 21, 16, 24, 11, 18, 27, 20, 15, 14, 9, 6, 2]","[23, 0, 13, 4, 3, 29, 26, 22, 12, 7]","[19, 8, 17, 28, 10, 5]",[1]
7.1694560050964355,3.0543356,"[7, 16, 21, 25, 26, 22, 3, 18, 27, 17, 20, 15, 14, 9, 6, 2, 24]","[23, 10, 29]","[19, 8, 11, 28, 12, 4, 0, 1, 5, 13]",[]
7.316749095916748,2.908727,"[7, 16, 26, 22, 29, 3, 4, 10, 18, 27, 20, 15, 14, 9, 6, 2, 24]","[28, 0, 1, 25, 21]","[19, 8, 17, 11, 23, 12, 5, 13]",[]
